Text,Label
Everything seems perfect today!,Happiness
This is the happiest moment of my life.,Happiness
I can’t believe this is happening!,Surprise
This situation is making me anxious.,Fear
Nothing special today.,Neutral
This is absolutely infuriating!,Anger
I feel on top of the world!,Happiness
I’m blown away by this!,Surprise
This situation makes me so angry.,Anger
It’s just another regular day.,Neutral
I’m trembling from fear.,Fear
I feel so down today.,Sadness
I’m shocked by what just happened.,Surprise
I feel so joyful today!,Happiness
I’m not feeling anything right now.,Neutral
I can't stop smiling.,Happiness
I am feeling really low.,Sadness
This is the happiest moment of my life.,Happiness
I'm so excited to be here!,Happiness
I’m afraid something bad is going to happen.,Fear
I’m afraid something bad is going to happen.,Fear
Nothing special today.,Neutral
This feels so terrifying.,Fear
I am feeling really low.,Sadness
Everything seems perfect today!,Happiness
This is such a pleasant surprise!,Surprise
This is absolutely infuriating!,Anger
Why does everything seem so hard?,Sadness
I am feeling really low.,Sadness
I’m trembling from fear.,Fear
I don’t know how to get out of this sadness.,Sadness
I’m blown away by this!,Surprise
This is the happiest moment of my life.,Happiness
It’s a normal day like any other.,Neutral
This is the happiest moment of my life.,Happiness
I never saw this coming.,Surprise
"Wow, this is amazing!",Surprise
I’m so furious right now.,Anger
This situation is making me anxious.,Fear
I can’t believe this is happening!,Surprise
I can’t believe this happened.,Anger
I don’t have much to say.,Neutral
This is such a pleasant surprise!,Surprise
I’m scared of what’s happening.,Fear
Everything feels so hopeless.,Sadness
This is so unexpected!,Surprise
I can’t stop worrying about this.,Fear
I’m not feeling anything right now.,Neutral
I’m scared of what’s happening.,Fear
I just want to cry.,Sadness
I feel so joyful today!,Happiness
I don’t know how to get out of this sadness.,Sadness
I didn’t think this would happen!,Surprise
I never saw this coming.,Surprise
My heart is racing with fear.,Fear
I can’t believe this happened.,Anger
I can’t stop worrying about this.,Fear
I can’t believe this happened.,Anger
I don’t have much to say.,Neutral
I’m too afraid to move.,Fear
It’s a normal day like any other.,Neutral
I just received amazing news!,Happiness
I’m trembling from fear.,Fear
I feel on top of the world!,Happiness
I didn’t think this would happen!,Surprise
I can’t control my anger anymore.,Anger
This situation is making me anxious.,Fear
This is so unexpected!,Surprise
I don’t have much to say.,Neutral
This situation makes me so angry.,Anger
I just received amazing news!,Happiness
I can't stop smiling.,Happiness
I’m so furious right now.,Anger
I’m just here.,Neutral
This feels so terrifying.,Fear
This is such a pleasant surprise!,Surprise
I didn’t think this would happen!,Surprise
This is the happiest moment of my life.,Happiness
Just another regular task.,Neutral
Why do people have to be so frustrating?,Anger
I just received amazing news!,Happiness
This is the best day ever!,Happiness
I feel so down today.,Sadness
I am beyond angry at this situation.,Anger
It’s just another regular day.,Neutral
It’s a normal day like any other.,Neutral
I am beyond angry at this situation.,Anger
It’s just another regular day.,Neutral
I feel on top of the world!,Happiness
I’m going about my day as usual.,Neutral
I am beyond angry at this situation.,Anger
This situation makes me so angry.,Anger
Everything seems perfect today!,Happiness
I am beyond angry at this situation.,Anger
I just want to cry.,Sadness
I’m going about my day as usual.,Neutral
I can't stop smiling.,Happiness
I'm so excited to be here!,Happiness
I’m shocked by what just happened.,Surprise
I can't stop smiling.,Happiness
It’s just another regular day.,Neutral
I feel on top of the world!,Happiness
I’m shocked by what just happened.,Surprise
I feel so down today.,Sadness
Everything feels so hopeless.,Sadness
I just want to cry.,Sadness
This is so unexpected!,Surprise
My heart is racing with fear.,Fear
I’m trembling from fear.,Fear
This is the best day ever!,Happiness
I can’t stop worrying about this.,Fear
I can’t believe this is happening!,Surprise
I never saw this coming.,Surprise
I’m shocked by what just happened.,Surprise
I am beyond angry at this situation.,Anger
This is the happiest moment of my life.,Happiness
I don’t know how to get out of this sadness.,Sadness
I feel empty inside.,Sadness
I feel so down today.,Sadness
Everything feels so hopeless.,Sadness
Nothing special today.,Neutral
I can't stop smiling.,Happiness
"Wow, this is amazing!",Surprise
I'm so excited to be here!,Happiness
This is absolutely infuriating!,Anger
I’m so furious right now.,Anger
I’m not feeling anything right now.,Neutral
I’m trembling from fear.,Fear
I’m not feeling anything right now.,Neutral
This is the best day ever!,Happiness
This is the happiest moment of my life.,Happiness
Why do people have to be so frustrating?,Anger
This is the best day ever!,Happiness
I can’t believe this happened.,Anger
This situation makes me so angry.,Anger
I’m going about my day as usual.,Neutral
This situation makes me so angry.,Anger
I feel so joyful today!,Happiness
This is so unexpected!,Surprise
I can't stop smiling.,Happiness
Just another regular task.,Neutral
Why does everything seem so hard?,Sadness
I’m shocked by what just happened.,Surprise
It’s just another regular day.,Neutral
I feel so down today.,Sadness
I’m not feeling anything right now.,Neutral
I’m blown away by this!,Surprise
Nothing special today.,Neutral
I am feeling really low.,Sadness
This is absolutely infuriating!,Anger
I’m too afraid to move.,Fear
Everything feels so hopeless.,Sadness
My heart is racing with fear.,Fear
I never saw this coming.,Surprise
"Wow, this is amazing!",Surprise
This situation is making me anxious.,Fear
Why does everything seem so hard?,Sadness
I'm so excited to be here!,Happiness
I can’t believe this is happening!,Surprise
I feel so down today.,Sadness
I’m too afraid to move.,Fear
I’m so furious right now.,Anger
This situation makes me so angry.,Anger
I feel so joyful today!,Happiness
I’m blown away by this!,Surprise
I feel empty inside.,Sadness
I’m going about my day as usual.,Neutral
I’m trembling from fear.,Fear
I’m blown away by this!,Surprise
I’m scared of what’s happening.,Fear
I feel so down today.,Sadness
Everything seems perfect today!,Happiness
I’m afraid something bad is going to happen.,Fear
I don’t know how to get out of this sadness.,Sadness
I can’t stop worrying about this.,Fear
I’m scared of what’s happening.,Fear
I can't stop smiling.,Happiness
"Wow, this is amazing!",Surprise
I’m going about my day as usual.,Neutral
I can't stop smiling.,Happiness
My heart is racing with fear.,Fear
I don’t know how to get out of this sadness.,Sadness
Why do people have to be so frustrating?,Anger
Nothing feels right today.,Sadness
"Wow, this is amazing!",Surprise
This situation is making me anxious.,Fear
It’s a normal day like any other.,Neutral
Why do people have to be so frustrating?,Anger
I don’t have much to say.,Neutral
Nothing special today.,Neutral
This is the happiest moment of my life.,Happiness
"Wow, this is amazing!",Surprise
It’s a normal day like any other.,Neutral
I don’t know how to get out of this sadness.,Sadness
I didn’t think this would happen!,Surprise
I don’t have much to say.,Neutral
This is such a pleasant surprise!,Surprise
This is absolutely infuriating!,Anger
I didn’t think this would happen!,Surprise
I can’t control my anger anymore.,Anger
I don’t know how to get out of this sadness.,Sadness
Why do people have to be so frustrating?,Anger
This is such a pleasant surprise!,Surprise
I’m shocked by what just happened.,Surprise
My heart is racing with fear.,Fear
I’m scared of what’s happening.,Fear
I’m just here.,Neutral
This is the best day ever!,Happiness
I’m not feeling anything right now.,Neutral
Everything seems perfect today!,Happiness
Everything feels so hopeless.,Sadness
I’m too afraid to move.,Fear
I’m going about my day as usual.,Neutral
I can’t stop worrying about this.,Fear
I’m not feeling anything right now.,Neutral
Just another regular task.,Neutral
I’m trembling from fear.,Fear
"Wow, this is amazing!",Surprise
I can’t believe this happened.,Anger
I can’t stop worrying about this.,Fear
It’s just another regular day.,Neutral
I feel empty inside.,Sadness
This feels so terrifying.,Fear
I never saw this coming.,Surprise
It’s a normal day like any other.,Neutral
I am beyond angry at this situation.,Anger
I’m afraid something bad is going to happen.,Fear
I’m afraid something bad is going to happen.,Fear
I’m just here.,Neutral
This situation is making me anxious.,Fear
This is the happiest moment of my life.,Happiness
Nothing special today.,Neutral
This is so unexpected!,Surprise
This is the best day ever!,Happiness
This situation is making me anxious.,Fear
My heart is racing with fear.,Fear
It’s just another regular day.,Neutral
I can’t stop worrying about this.,Fear
I feel empty inside.,Sadness
It’s a normal day like any other.,Neutral
I feel on top of the world!,Happiness
I’m trembling from fear.,Fear
I can’t control my anger anymore.,Anger
I can’t believe this happened.,Anger
I am beyond angry at this situation.,Anger
I don’t know how to get out of this sadness.,Sadness
This is absolutely infuriating!,Anger
I feel empty inside.,Sadness
I’m trembling from fear.,Fear
I never saw this coming.,Surprise
This is the happiest moment of my life.,Happiness
I didn’t think this would happen!,Surprise
I can’t control my anger anymore.,Anger
I’m blown away by this!,Surprise
Nothing special today.,Neutral
It’s a normal day like any other.,Neutral
I can’t control my anger anymore.,Anger
This is the happiest moment of my life.,Happiness
I’m trembling from fear.,Fear
I never saw this coming.,Surprise
I’m going about my day as usual.,Neutral
This is absolutely infuriating!,Anger
I can’t stop worrying about this.,Fear
I’m too afraid to move.,Fear
Everything seems perfect today!,Happiness
I’m blown away by this!,Surprise
I’m going about my day as usual.,Neutral
Nothing special today.,Neutral
I’m going about my day as usual.,Neutral
I don’t have much to say.,Neutral
I’m afraid something bad is going to happen.,Fear
I can’t stop worrying about this.,Fear
I feel so joyful today!,Happiness
Why do people have to be so frustrating?,Anger
I’m blown away by this!,Surprise
Nothing special today.,Neutral
This feels so terrifying.,Fear
I can’t stop worrying about this.,Fear
I am beyond angry at this situation.,Anger
This is the happiest moment of my life.,Happiness
I am beyond angry at this situation.,Anger
Nothing special today.,Neutral
Just another regular task.,Neutral
I’m trembling from fear.,Fear
Just another regular task.,Neutral
My heart is racing with fear.,Fear
I’m afraid something bad is going to happen.,Fear
I feel so down today.,Sadness
Why do people have to be so frustrating?,Anger
Everything seems perfect today!,Happiness
I can’t control my anger anymore.,Anger
I don’t have much to say.,Neutral
I can’t control my anger anymore.,Anger
I don’t have much to say.,Neutral
This is so unexpected!,Surprise
This is absolutely infuriating!,Anger
I feel so joyful today!,Happiness
This feels so terrifying.,Fear
It’s just another regular day.,Neutral
Nothing special today.,Neutral
I’m trembling from fear.,Fear
Nothing feels right today.,Sadness
I can’t control my anger anymore.,Anger
I never saw this coming.,Surprise
I’m scared of what’s happening.,Fear
I just want to cry.,Sadness
I can’t stop worrying about this.,Fear
I’m too afraid to move.,Fear
This situation makes me so angry.,Anger
I’m just here.,Neutral
It’s just another regular day.,Neutral
I’m shocked by what just happened.,Surprise
I never saw this coming.,Surprise
I didn’t think this would happen!,Surprise
I feel empty inside.,Sadness
Everything seems perfect today!,Happiness
I don’t have much to say.,Neutral
I’m afraid something bad is going to happen.,Fear
I don’t know how to get out of this sadness.,Sadness
I just want to cry.,Sadness
This is the happiest moment of my life.,Happiness
I’m blown away by this!,Surprise
I just received amazing news!,Happiness
I don’t have much to say.,Neutral
I’m going about my day as usual.,Neutral
I'm so excited to be here!,Happiness
It’s a normal day like any other.,Neutral
I don’t have much to say.,Neutral
This is the happiest moment of my life.,Happiness
Everything seems perfect today!,Happiness
I didn’t think this would happen!,Surprise
This situation makes me so angry.,Anger
I can’t believe this happened.,Anger
I feel on top of the world!,Happiness
Everything feels so hopeless.,Sadness
Everything seems perfect today!,Happiness
I’m so annoyed by everything right now.,Anger
I didn’t think this would happen!,Surprise
I’m shocked by what just happened.,Surprise
I’m not feeling anything right now.,Neutral
Why do people have to be so frustrating?,Anger
I’m afraid something bad is going to happen.,Fear
I feel on top of the world!,Happiness
I feel on top of the world!,Happiness
I can’t control my anger anymore.,Anger
My heart is racing with fear.,Fear
I’m so annoyed by everything right now.,Anger
I just received amazing news!,Happiness
I don’t know how to get out of this sadness.,Sadness
I’m shocked by what just happened.,Surprise
Nothing feels right today.,Sadness
Nothing feels right today.,Sadness
I’m not feeling anything right now.,Neutral
I don’t know how to get out of this sadness.,Sadness
I don’t have much to say.,Neutral
This situation makes me so angry.,Anger
I just want to cry.,Sadness
I’m too afraid to move.,Fear
I don’t have much to say.,Neutral
I can’t believe this is happening!,Surprise
This situation makes me so angry.,Anger
I didn’t think this would happen!,Surprise
I can't stop smiling.,Happiness
I’m so annoyed by everything right now.,Anger
I’m trembling from fear.,Fear
Nothing special today.,Neutral
Everything feels so hopeless.,Sadness
I’m going about my day as usual.,Neutral
It’s just another regular day.,Neutral
I can’t believe this happened.,Anger
It’s just another regular day.,Neutral
Just another regular task.,Neutral
This situation makes me so angry.,Anger
I didn’t think this would happen!,Surprise
I’m blown away by this!,Surprise
I’m so annoyed by everything right now.,Anger
Nothing feels right today.,Sadness
I didn’t think this would happen!,Surprise
I'm so excited to be here!,Happiness
I am beyond angry at this situation.,Anger
Nothing special today.,Neutral
This situation is making me anxious.,Fear
Nothing feels right today.,Sadness
I feel so joyful today!,Happiness
I feel so down today.,Sadness
I can’t believe this is happening!,Surprise
I’m shocked by what just happened.,Surprise
I’m shocked by what just happened.,Surprise
This is the best day ever!,Happiness
I feel so joyful today!,Happiness
I’m not feeling anything right now.,Neutral
I can’t stop worrying about this.,Fear
I’m too afraid to move.,Fear
It’s a normal day like any other.,Neutral
Just another regular task.,Neutral
I can’t control my anger anymore.,Anger
This is such a pleasant surprise!,Surprise
I can’t control my anger anymore.,Anger
I just want to cry.,Sadness
I’m so annoyed by everything right now.,Anger
I’m shocked by what just happened.,Surprise
I never saw this coming.,Surprise
This is so unexpected!,Surprise
This is so unexpected!,Surprise
I don’t have much to say.,Neutral
It’s just another regular day.,Neutral
I’m just here.,Neutral
I never saw this coming.,Surprise
I don’t know how to get out of this sadness.,Sadness
This is the happiest moment of my life.,Happiness
I am beyond angry at this situation.,Anger
"Wow, this is amazing!",Surprise
It’s a normal day like any other.,Neutral
This is such a pleasant surprise!,Surprise
This situation is making me anxious.,Fear
Why do people have to be so frustrating?,Anger
This is such a pleasant surprise!,Surprise
I’m afraid something bad is going to happen.,Fear
This feels so terrifying.,Fear
I am feeling really low.,Sadness
My heart is racing with fear.,Fear
This is such a pleasant surprise!,Surprise
I feel on top of the world!,Happiness
Everything feels so hopeless.,Sadness
I am beyond angry at this situation.,Anger
This feels so terrifying.,Fear
I’m shocked by what just happened.,Surprise
I’m too afraid to move.,Fear
I’m too afraid to move.,Fear
Why does everything seem so hard?,Sadness
I’m scared of what’s happening.,Fear
I’m shocked by what just happened.,Surprise
